Date,.SP500
2016-08-30,2176.1226
2016-08-31,2170.947
2016-09-01,2170.8633
2016-09-02,2179.9842
2016-09-06,2186.4767
2016-09-07,2186.1587
2016-09-08,2181.2996
2016-09-09,2127.8056
2016-09-12,2159.0397
2016-09-13,2127.0204
2016-09-14,2125.7695
2016-09-15,2147.262
2016-09-16,2139.1646
2016-09-19,2139.1154
2016-09-20,2139.7568
2016-09-21,2163.1176
2016-09-22,2177.1822
2016-09-23,2164.6948
2016-09-26,2146.0974
2016-09-27,2159.928
2016-09-28,2171.3693
2016-09-29,2151.1315
2016-09-30,2168.2721
2016-10-03,2161.1967
2016-10-04,2150.4896
2016-10-05,2159.728
2016-10-06,2160.7718
2016-10-07,2153.7394
2016-10-10,2163.6607
2016-10-11,2136.7262
2016-10-12,2139.1764
2016-10-13,2132.5465
2016-10-14,2132.9785
2016-10-17,2126.5033
2016-10-18,2139.6041
2016-10-19,2144.2903
2016-10-20,2141.3439
2016-10-21,2141.1619
2016-10-24,2151.3326
2016-10-25,2143.1597
2016-10-26,2139.427
2016-10-27,2133.0355
2016-10-28,2126.4076
2016-10-31,2126.1533
2016-11-01,2111.7226
2016-11-02,2097.9438
2016-11-03,2088.6636
2016-11-04,2085.1764
2016-11-07,2131.5236
2016-11-08,2139.563
2016-11-09,2163.2579
2016-11-10,2167.4781
2016-11-11,2164.4508
2016-11-14,2164.2033
2016-11-15,2180.3888
2016-11-16,2176.9409
2016-11-17,2187.1211
2016-11-18,2181.9018
2016-11-21,2198.1827
2016-11-22,2202.9368
2016-11-23,2204.7229
2016-11-25,2213.3486
2016-11-28,2201.7205
2016-11-29,2204.6617
2016-11-30,2198.8104
2016-12-01,2191.083
2016-12-02,2191.9537
2016-12-05,2204.7054
2016-12-06,2212.2308
2016-12-07,2241.3546
2016-12-08,2246.1878
2016-12-09,2259.5287
2016-12-12,2256.9632
2016-12-13,2271.7208
2016-12-14,2253.2786
2016-12-15,2262.0312
2016-12-16,2258.0724
2016-12-19,2262.5322
2016-12-20,2270.7617
2016-12-21,2265.1799
2016-12-22,2260.9572
2016-12-23,2263.7887
2016-12-27,2268.8755
2016-12-28,2249.9226
2016-12-29,2249.2568
2016-12-30,2238.8267
2017-01-03,2257.828
2017-01-04,2270.7525
2017-01-05,2268.9985
2017-01-06,2276.9814
2017-01-09,2268.9042
2017-01-10,2268.8995
2017-01-11,2275.3159
2017-01-12,2270.4429
2017-01-13,2274.6377
2017-01-17,2267.8886
2017-01-18,2271.8894
2017-01-19,2263.6868
2017-01-20,2271.3147
2017-01-23,2265.2002
2017-01-24,2280.0742
2017-01-25,2298.3674
2017-01-26,2296.6808
2017-01-27,2294.6897
2017-01-30,2280.8963
2017-01-31,2278.8669
2017-02-01,2279.5543
2017-02-02,2280.8504
2017-02-03,2297.4159
2017-02-06,2292.5584
2017-02-07,2293.0811
2017-02-08,2294.6686
2017-02-09,2307.8746
2017-02-10,2316.0971
2017-02-13,2328.2533
2017-02-14,2337.5846
2017-02-15,2349.2474
2017-02-16,2347.2235
2017-02-17,2351.1617
2017-02-21,2365.3827
2017-02-22,2362.8215
2017-02-23,2363.8067
2017-02-24,2367.3442
2017-02-27,2369.7503
2017-02-28,2363.6382
2017-03-01,2395.9571
2017-03-02,2381.9182
2017-03-03,2383.117
2017-03-06,2375.3111
2017-03-07,2368.3942
2017-03-08,2362.977
2017-03-09,2364.8698
2017-03-10,2372.5978
2017-03-13,2373.473
2017-03-14,2365.4549
2017-03-15,2385.2645
2017-03-16,2381.3822
2017-03-17,2378.2531
2017-03-20,2373.4716
2017-03-21,2344.0171
2017-03-22,2348.4488
2017-03-23,2345.9622
2017-03-24,2343.9781
